PL,IE,IH
23.82,219.85301,226.5158308
25.17,256.73024,263.2090845
3.48,386.29057,379.1180469
13.2,387.84005,385.4141289
9.4,721.1714,709.2092578
15.4,181.1831,184.5926887
28.4,191.81077,201.3719223
7.63,399.3336,393.9028872
22.9,401.31578,403.3523171
9.5,653.4761,643.1201497
13.2,492.74867,487.9098506
11.7,511.15907,505.1588114
6.16,874.49632,857.4136246
20.9,799.6698,791.5601946
15.9,1138.5167,1120.153616
16.6,329.66097,330.2459677
25.9,348.3981,353.1277437
8.74,620.07219,610.1106096
24.1,643.0387,640.1060099
20.1,1761.2383,1730.619019
12.41,18.2208,23.9074416
14.69,113.10447,117.7305472
8.23,531.86887,523.685046
13.43,631.2787,623.3668499
14.2,670.7177,662.2775929
