PL,IE,IH
23.82,219.85301,63.93372
25.17,256.73024,71.105
3.48,386.29057,111.15872
13.2,387.84005,113.1886
9.4,721.1714,190.43752
15.4,181.1831,55.41588
28.4,191.81077,55.77504
7.63,399.3336,97.944
22.9,401.31578,102.5126
9.5,653.4761,135.8632
13.2,492.74867,126.47056
11.7,511.15907,126.81212
6.16,874.49632,180.70372
20.9,799.6698,161.95152
15.9,1138.5167,223.00872
16.6,329.66097,106.36312
25.9,348.3981,105.77272
8.74,620.07219,137.94252
24.1,643.0387,143.33352
20.1,1761.2383,228.4658
12.41,18.2208,495.339
14.69,113.10447,528.38968
8.23,531.86887,637.50112
13.43,631.2787,854.39296
14.2,670.7177,1405.535
